제목, 내용, 링크 
한화생명 청약자동화 솔루션 특허…GA설계사 업무간소화, (서울=연합뉴스) 이지헌 기자 = 한화생명[088350]은 보험설계 및 청약 업무 프로세스 자동화 기술인 '청약 자동화 솔루션'이 BM 특허를 ..., https://www.yna.co.kr/view/AKR20221025034300002 
한화생명 청약자동화 솔루션 특허 취득 - 서울경제, 한화생명이 업계 최초로 보험 신계약 과정을 로봇 기술로 자동화하며 법인대리점(GA) 시장에서의 영업 경쟁력 강화에 나섰다. 25..., https://www.sedaily.com/NewsView/26CHK5V7NA 
한화생명 보험 계약 자동화 솔루션 특허 취득, 한화생명은 25일 보험설계와 계약 업무 프로세스를 자동화하는 기술인 "청약자동화 솔루션"이 특허청으로부터 "BM(Business Method)특허&quo..., https://news.mt.co.kr/mtview.php?no=2022102510404686281 
한화생명 청약자동화 솔루션 특허 취득, 한화생명이 업계 최초로 보험 신계약 과정을 로봇 기술로 자동화하며 법인대리점(GA) 시장에서의 영업 경쟁력 강화에 나섰다.한화생명은 보험설계 및..., https://www.straightnews.co.kr/news/articleView.html?idxno=219294 
한화생명 보험가입 5분이면 끝…청약자동화 솔루션 특허 취득, 한화생명이 청약자동화 솔루션을 개발하고 특허청으로부터 BM특허를 받았다. 사진은 이번 솔루션 개발과 특허 출원에 나선 (왼쪽부터) 김도형 영업..., https://biz.sbs.co.kr/article/20000086101 
한화생명 청약자동화 솔루션 특허 취득, 한화생명이 보험가입부터 청약까지 5분이면 마칠 수 있는 로봇 기술을 도입해 법인보험대리점(GA) 시장 영업 경쟁력 강화에 나섰다., https://www.etnews.com/20221025000069 
한화생명 청약자동화 솔루션 특허GA설계사 업무간소화, 한화생명 청약자동화 솔루션 특허…GA설계사 업무간소화(서울=연합뉴스) 이지헌 기자 = 한화생명[088350]은 보험설계 및 청약 업무 프로세스 자동화..., https://www.wowtv.co.kr/NewsCenter/News/Read?articleId=AKR20221025034300002 
한화생명 청약자동화 솔루션 특허 취득 -, 청약자동화 솔루션 특허 출원 주역들. (왼쪽부터)김도형 영업추진팀 과장 김창완 IT운영팀 파트장 신종연 영업추진팀 파트장 채경훈 IT운영팀 과장..., http://www.dt.co.kr/contents.html?article_no=2022102502109963076006 
자동화로 네트워크 전체 스위치 업그레이드를 효율화하는 방법, 자동화는 반복적인 네트워킹 작업에서 큰 차이를 만들어낼 수 있다. 파이썬 스크립트와 오픈소스 툴을 사용해 엔터프라이즈 스위치 업그레이드를..., https://www.itworld.co.kr/news/260974 
롯데홈쇼핑 이천 물류센터 오픈...최첨단 자동화 시스템 도입, 롯데홈쇼핑(대표 이완신)은 지난 21일 경기도 이천에서 업계 최초로 자동화 시스템을 도입해 최첨단 물류 인프라를 구현한 '이천 물류센터' 오픈식을..., http://www.nextdaily.co.kr/news/articleView.html?idxno=211142 
