,user_name,rating,date,content
0,Jim B,5,2022년 10월 10일,"혹시 [주문내역]에서 검색하기 기능을 넣어주실 수 있으시다면 꼭 부탁드립니다. 그때 그 집!! 하면서 찾고 싶은데 스크롤을 아무리 내려도 오래전에 먹었던 건 찾기 힘들고, 개선이 된다면 정말 편리할 것 같아서 남겨봅니다. 그리고 함께 주문하기 기능 신기합니다. 유용하게 사용할 것 같아요. 늘 편리한 앱을 위해 업데이트 해주셔서 감사합니다."
1,고냥이,1,2022년 10월 24일,"정말... 점점 쿠폰이 너무 박해집니다. 천원 이천원 주면서 2만원 2만 5천원 이상 주문.... 배달 예정시간도 짧아서 샀는데 안지켜질때가 많고요. 몇년 잘 썼는데 오르는 가격과, 최소금액은 만원인데 메뉴는 전부 9900원 이런거고 소액 메뉴는 없는집도 있고ㅋㅋㅋㅋㅋㅋ;; 예전엔 쿠폰 참 잘줬었는데..."
2,신유진,1,2022년 10월 9일,"천생연분 반년 이상 유지중인 사람인데요 배민1, 배민 버튼 위치 바꾼거 진짜 불편합니다 일부러 그런거 느껴져서 더 그렇고요. 사람들이 안 써서 그러신것 같은데 안쓰는 이유가 있지 않을까요^^ 그리고 메뉴판 누르면 해당 메뉴 리뷰만 골라서 보여주는 기능은 왜 없어졌는지 참 끔찍함 사용자 편의성보다 장사할 목적으로만 치우쳐지고 있음"
3,애기햄지,5,2022년 9월 4일,"안녕하세요. 몇 년간 어플을 잘 사용하고 있는 유저입니다. 그런데 어플을 꽤 오래 사용하다보니 조금 불편한게 생겼습니다. 배달을 자주 시켜먹다보니 많은 가게들을 찜해놓게 됐는데, 찜한 가게가 많이 쌓이다보니 제가 원하는 가게를 찾기가 조금 번거롭습니다. 원하는 가게를 찾기 위해서는 스크롤을 하염없이 내려야합니다. 내가 찜한가게 내에 검색기능이나, 아니면 카테고리를 분류해서 볼 수 있는 기능이 추가된다면 사용하기에 조금 더 편리할 것 같습니다. 그리고, 찜한 가게를 선택해서 한 번에 여러개 해제할 수 있는 기능도 있으면 좋겠습니다. 찜해놓은 가게들 중 일부가 폐업 등의 이유로 주문이 불가하게 됐는데, 목록에서 자동으로 삭제가 되지 않고 남아있더라구요. 그런데 한 번 찜을 해제할 때마다 자꾸 목록이 맨 위로 올라가는 바람에 여간 번거로운게 아닙니다ㅠㅠ 목록이 보고있는 페이지가 고정되거나, 혹은 선택 삭제를 할 수 있는 기능이 있으면 좋을 것 같습니다. 감사합니다."
4,딸기쿠키스무디,5,2022년 10월 2일,배민 잘 이용하고 있습니다. 그런데 한가지 불편한 점이 있네요. 음식점 목록을 보면 제가 있는 곳의 주소로 절대 오지않는 음식점들도 목록에 뜨는게 싫어요. 시키고 싶어도 시킬 수가 없는 곳이니 말이죠. 이런 문제때문에 배달 오지 않는 음식점을 목록에서 지울 수 있는 기능도 있었으면 합니다.
5,부림자리토씨,4,2022년 9월 3일,1. 메뉴별로 리뷰를 볼 수 있는 기능이 있으면 좋겠습니다. 내가 시키려는 메뉴가 맛있는지 바로 확인이 안되어 불편합니다. 2. 리뷰창에서 제가 쓴 리뷰만 골라 볼 수 있으면 좋겠습니다. 맛있게 먹었던 집이었는지 기억이 잘 안나는 경우가 많아요. 3. 리뷰를 작성하고 확인 버튼이 안보입니다. 이게 전에 개선이 된 것 같았는데 또 그러네요. 사진첨부를 클릭했다가 다시 돌아와야만 확인버튼이 보입니다. 리뷰 쓸때마다 너무 불편합니다. Lg 벨벳 사용자입니다.
6,나나,1,2022년 8월 15일,"배달비만 계속 올리고 많이 시키는 사람들에게 혜택 최대한 적게 주려고 기를 쓰는게 보입니다. 월 20회도 넘게 주문해서 매번 배민페이 쌓이는걸로 겨우 1000원 1500원 할인받는 혜택 받는데ㅋㅋㅋㅋ(그것도 심지어 내가 많이 시켜먹어야 받을수있는 혜택) 어느순간 안쌓여서 보니 없애버리셨네요. 귀찮게 충전해서 써야 받아갈수있게. 할인쿠폰도 1년전에는 많이 주더니, 이제는 겨우 하나 주는것도 20000원 이상 최소주문금액에, 기한도 얼마안되는;; 고객들이 점점 떠나는 이유를 생각해보세요 저도 이 앱 삭제하고 다른배달로 갈아탑니다."
7,윤챠R,3,2022년 9월 9일,배민 자주 사용하고 있습니다.덕분에 맛있는것도 많이 먹고 감사합니다.그러나 물품수량이 한정된 가게의 물품을 시킬경우 다 떨어졌거나 이미 있는데도 배민에는 없다고 나오는 경우가 있습니다.그래서 가게 상황을 빠르게 파악하여 있는 물품은 있게 없는건 없게 빠르게 알려주시면 좋겠습니다.감사합니다
8,이성우,4,2022년 9월 20일,주문자가 진상이거나 배짱장사를 하는경우도 있지만 배달기사가 문제인경우도 많은데 배달기사에게 피해받은 사람은 해당 음식점 리뷰에서 별점을 깍게됩니다. 배달기사에 대한 평가도 가능하게 개선 해주실수없는지요. 별점 주는건 아니더라도 '해당 배달기사에게 다음부터 배달 안받기' 같은 기능이라도 추가해주시면 좋을거같네요.
9,김현도,5,2022년 9월 28일,[ 2G9PJMGU ] 매번 주문 할때 배달의 민족만 이용합니다. 편리하고 유용하며 간편하고 정말 만족 하면서 사용하고 있어요. 할인 쿠폰도 자주 날라와서 항상 기분좋게 사용하고 있네요. 다른 배달 어플보다 훨씬 훌륭하고 유용하게 사용하고 있어요. 앞으로도 계속해서 이용하고 싶어요. 정말 좋은 어플 만들어 주셔서 너무나 감사 드립니다^^ 집에서 요리하기 싫은 날엔 배달 음식 시키면 너무 편하고 행복 합니다~ 앞으로 더욱더 발전하는 배민이 되길 기원합니다..
